gpu_model,gpu_url
A100,https://www.nvidia.com/en-us/data-center/a100/
A100-80G,https://www.nvidia.com/en-us/data-center/a100/
A40,https://www.nvidia.com/en-us/data-center/a40/
A6000,https://www.nvidia.com/en-us/products/workstations/rtx-a6000/
H200,https://www.nvidia.com/en-us/data-center/h200/
K2200,https://www.nvidia.com/content/dam/en-zz/Solutions/design-visualization/documents/75509_DS_NV_Quadro_K2200_US_NV_HR.pdf
K40m,https://www.nvidia.com/content/PDF/kepler/nvidia-tesla-k40.pdf
L40,https://www.nvidia.com/en-us/data-center/l40/
L40S,https://www.nvidia.com/en-us/data-center/l40s/
M2000,https://www.nvidia.com/content/dam/en-zz/Solutions/design-visualization/documents/38111-DS-NV-Quadro-M2000-Feb16-US-NV-Fnl-HR.pdf
P100,https://images.nvidia.com/content/tesla/pdf/nvidia-tesla-p100-PCIe-datasheet.pdf
P100-16G,https://images.nvidia.com/content/tesla/pdf/nvidia-tesla-p100-PCIe-datasheet.pdf
RTX6000,https://www.nvidia.com/en-gb/products/workstations/quadro/rtx-6000/
RTX6000ada,https://www.nvidia.com/en-us/products/workstations/rtx-6000/
RTX8000,https://www.nvidia.com/content/dam/en-zz/Solutions/design-visualization/quadro-product-literature/quadro-rtx-8000-us-nvidia-946977-r1-web.pdf
TitanV,https://www.techpowerup.com/gpu-specs/titan-v.c3051
TitanXp,https://www.techpowerup.com/gpu-specs/titan-xp.c2948
V100,https://www.nvidia.com/en-gb/data-center/tesla-v100/
V100-32G,https://www.nvidia.com/en-gb/data-center/tesla-v100/